"","concept_id","concept_name","domain_id","concept_class_id","vocabulary_id"
"1",444224,"Overlapping malignant neoplasm of lip, oral cavity and pharynx","condition","clinical finding","SNOMED"
"2",436045,"Malignant neoplasm of lip, oral cavity and pharynx","condition","clinical finding","SNOMED"
"3",4093646,"Malignant tumor of frenum of upper lip","condition","clinical finding","SNOMED"
"4",4090217,"Malignant tumor of frenum of lower lip","condition","clinical finding","SNOMED"
"5",4170451,"Malignant tumor of lipstick area of lip","condition","clinical finding","SNOMED"
"6",4118988,"Malignant tumor of frenum of lip","condition","clinical finding","SNOMED"
"7",4180779,"Malignant tumor of lip","condition","clinical finding","SNOMED"
"8",4180782,"Malignant tumor of vermilion border of upper lip","condition","clinical finding","SNOMED"
"9",4178961,"Malignant tumor of vermilion border of lower lip","condition","clinical finding","SNOMED"
"10",4177100,"Malignant tumor of commissure of lip","condition","clinical finding","SNOMED"
"11",4225833,"Malignant tumor of vermilion border of lip","condition","clinical finding","SNOMED"
"12",4181332,"Malignant tumor of base of tongue","condition","clinical finding","SNOMED"
"13",4093649,"Malignant tumor of anterior two-thirds of tongue - dorsal surface","condition","clinical finding","SNOMED"
"14",4093141,"Malignant tumor of anterior two-thirds of tongue - ventral surface","condition","clinical finding","SNOMED"
"15",4089526,"Malignant tumor of junctional zone of tongue","condition","clinical finding","SNOMED"
"16",4110420,"Malignant tumor of anterior two-thirds of tongue - lateral margin","condition","clinical finding","SNOMED"
"17",4111649,"Malignant tumor of tip of tongue","condition","clinical finding","SNOMED"
"18",4201475,"Local recurrence of malignant tumor of tongue","condition","clinical finding","SNOMED"
"19",4196267,"Metastasis from malignant tumor of tongue","condition","clinical finding","SNOMED"
"20",4177098,"Malignant tumor of anterior two-thirds of tongue","condition","clinical finding","SNOMED"
"21",4178962,"Malignant tumor of tongue","condition","clinical finding","SNOMED"
"22",4178963,"Malignant tumor of gum","condition","clinical finding","SNOMED"
"23",4090224,"Malignant tumor of anterior floor of mouth","condition","clinical finding","SNOMED"
"24",4089530,"Malignant tumor of lateral floor of mouth","condition","clinical finding","SNOMED"
"25",4177101,"Malignant tumor of floor of mouth","condition","clinical finding","SNOMED"
"26",4112598,"Malignant tumor of inferior surface of soft palate","condition","clinical finding","SNOMED"
"27",4180787,"Malignant tumor of hard palate","condition","clinical finding","SNOMED"
"28",4181336,"Malignant tumor of soft palate","condition","clinical finding","SNOMED"
"29",4178964,"Malignant tumor of palate","condition","clinical finding","SNOMED"
"30",25189,"Malignant tumor of oral cavity","condition","clinical finding","SNOMED"
"31",4301656,"Malignant infiltration of oral cavity by underlying tumor","condition","clinical finding","SNOMED"
"32",4180784,"Malignant tumor of parotid gland","condition","clinical finding","SNOMED"
"33",4181333,"Malignant tumor of major salivary gland","condition","clinical finding","SNOMED"
"34",4094720,"Malignant tumor of tonsillar pillar","condition","clinical finding","SNOMED"
"35",4180783,"Malignant tumor of lingual tonsil","condition","clinical finding","SNOMED"
"36",4181339,"Malignant tumor of tonsil","condition","clinical finding","SNOMED"
"37",4180788,"Malignant tumor of tonsillar fossa","condition","clinical finding","SNOMED"
"38",4094721,"Malignant tumor of posterior wall of oropharynx","condition","clinical finding","SNOMED"
"39",4181338,"Malignant tumor of oropharynx","condition","clinical finding","SNOMED"
"40",4095312,"Malignant tumor of nasopharynx","condition","clinical finding","SNOMED"
"41",4094722,"Malignant tumor of posterior wall of nasopharynx","condition","clinical finding","SNOMED"
"42",4095313,"Malignant tumor of anterior wall of nasopharynx","condition","clinical finding","SNOMED"
"43",4116237,"Malignant tumor of nasal cavity and nasopharynx","condition","clinical finding","SNOMED"
"44",4177103,"Malignant tumor of lateral wall of nasopharynx","condition","clinical finding","SNOMED"
"45",4180789,"Malignant tumor of pyriform fossa","condition","clinical finding","SNOMED"
"46",4177104,"Malignant tumor of postcricoid region","condition","clinical finding","SNOMED"
