"","concept_id","concept_name","domain_id","vocabulary_id"
"1",35610411,"Overlapping malignant neoplasm of mouth","Condition","SNOMED"
"2",140955,"Overlapping malignant neoplasm of floor of mouth","Condition","SNOMED"
"3",4130986,"Neoplasm of mouth","Condition","SNOMED"
"4",4130381,"Neoplasm of floor of mouth","Condition","SNOMED"
"5",4130987,"Neoplasm of vestibule of mouth","Condition","SNOMED"
"6",40492985,"Malignant neoplasm of anterior and lateral floor of mouth","Condition","SNOMED"
"7",438982,"Primary malignant neoplasm of anterior portion of floor of mouth","Condition","SNOMED"
"8",135750,"Primary malignant neoplasm of floor of mouth","Condition","SNOMED"
"9",440344,"Primary malignant neoplasm of lateral portion of floor of mouth","Condition","SNOMED"
"10",261808,"Primary malignant neoplasm of vestibule of mouth","Condition","SNOMED"
"11",4312148,"Secondary malignant neoplasm of anterior portion of floor of mouth","Condition","SNOMED"
"12",4313078,"Secondary malignant neoplasm of floor of mouth","Condition","SNOMED"
"13",4313209,"Secondary malignant neoplasm of lateral portion of floor of mouth","Condition","SNOMED"
"14",4312550,"Secondary malignant neoplasm of mouth","Condition","SNOMED"
"15",4314195,"Secondary malignant neoplasm of vestibule of mouth","Condition","SNOMED"
"16",4313356,"Neoplasm of uncertain behavior of anterior portion of floor of mouth","Condition","SNOMED"
"17",4314954,"Neoplasm of uncertain behavior of floor of mouth","Condition","SNOMED"
"18",4317544,"Neoplasm of uncertain behavior of lateral portion of floor of mouth","Condition","SNOMED"
"19",4313645,"Neoplasm of uncertain behavior of mouth","Condition","SNOMED"
"20",4316750,"Neoplasm of uncertain behavior of vestibule of mouth","Condition","SNOMED"
"21",133710,"Overlapping malignant neoplasm of lip","Condition","SNOMED"
"22",444224,"Overlapping malignant neoplasm of lip, oral cavity and pharynx","Condition","SNOMED"
"23",4054404,"Neoplasm of skin of lip","Condition","SNOMED"
"24",4054605,"Neoplasm of lip","Condition","SNOMED"
"25",4131599,"Neoplasm of vermilion border of lip","Condition","SNOMED"
"26",4130854,"Neoplasm of vermilion border of upper lip","Condition","SNOMED"
"27",4131600,"Neoplasm of vermilion border of lower lip","Condition","SNOMED"
"28",4054606,"Neoplasm of inner aspect of lip","Condition","SNOMED"
"29",4130855,"Neoplasm of inner aspect of upper lip","Condition","SNOMED"
"30",4130979,"Neoplasm of inner aspect of lower lip","Condition","SNOMED"
"31",4130980,"Neoplasm of commissure of lip","Condition","SNOMED"
"32",4093012,"Malignant neoplasm of upper lip, lipstick area","Condition","SNOMED"
"33",4089516,"Malignant neoplasm of lower lip, external","Condition","SNOMED"
"34",4093647,"Malignant neoplasm of lower lip, buccal aspect","Condition","SNOMED"
"35",40462300,"Overlapping neoplasm of oral cavity and lips and salivary glands","Condition","SNOMED"
"36",4115120,"Neoplasm of frenum of lip","Condition","SNOMED"
"37",4111021,"Overlapping malignant neoplasm of oral cavity and lips and salivary glands","Condition","SNOMED"
"38",436045,"Malignant neoplasm of lip, oral cavity and pharynx","Condition","SNOMED"
"39",436080,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx","Condition","SNOMED"
"40",255192,"Primary malignant neoplasm of commissure of lip","Condition","SNOMED"
"41",4155171,"Primary malignant neoplasm of lip","Condition","SNOMED"
"42",132565,"Primary malignant neoplasm of vermilion border of lower lip","Condition","SNOMED"
"43",138074,"Primary malignant neoplasm of vermilion border of upper lip","Condition","SNOMED"
"44",132832,"Primary malignant neoplasm of inner aspect of lip","Condition","SNOMED"
"45",137219,"Primary malignant neoplasm of inner aspect of lower lip","Condition","SNOMED"
"46",138351,"Primary malignant neoplasm of inner aspect of upper lip","Condition","SNOMED"
"47",136915,"Primary malignant neoplasm of skin of lip","Condition","SNOMED"
"48",133969,"Primary malignant neoplasm of vermilion border of lip","Condition","SNOMED"
"49",4312943,"Secondary malignant neoplasm of commissure of lip","Condition","SNOMED"
"50",4248058,"Secondary malignant neoplasm of inner aspect of lip","Condition","SNOMED"
"51",4313090,"Secondary malignant neoplasm of inner aspect of lower lip","Condition","SNOMED"
