Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
46270923,708921005,Carcinoma of central portion of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
45768522,706970001,Triple-negative breast cancer,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44811954,9.4361E+13,Breast cancer detected by national screening programme,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44505312,8141/3-C50.9,"Scirrhous adenocarcinoma of breast, NOS",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503559,8575/3-C50.1,"Metaplastic carcinoma, NOS, of central portion of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503557,8524/3-C50.2,Infiltrating lobular mixed with other types of carcinoma of upper-inner quadrant of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503198,8070/3-C50.4,"Squamous cell carcinoma, NOS, of upper-outer quadrant of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503195,8050/3-C50.4,"Papillary carcinoma, NOS, of upper-outer quadrant of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503158,8503/3-C50.5,Intraductal papillary adenocarcinoma with invasion of lower-outer quadrant of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503113,9020/3-C50.4,"Phyllodes tumor, malignant of upper-outer quadrant of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503099,8575/3-C50.5,"Metaplastic carcinoma, NOS, of lower-outer quadrant of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503085,8200/3-C50.3,Adenoid cystic carcinoma of lower-inner quadrant of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503032,8543/3-C50.9,"Paget disease and intraductal carcinoma of breast of breast, NOS",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503013,8141/3-C50.2,Scirrhous adenocarcinoma of upper-inner quadrant of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503003,8041/3-C50.9,"Small cell carcinoma, NOS, of breast, NOS",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44503001,8032/3-C50.9,"Spindle cell carcinoma, NOS, of breast, NOS",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502997,9930/3-C50.9,"Myeloid sarcoma of breast, NOS",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502959,8520/3-C50.6,"Lobular carcinoma, NOS, of axillary tail of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502958,8520/3-C50.5,"Lobular carcinoma, NOS, of lower-outer quadrant of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502956,8510/3-C50.9,"Medullary carcinoma, NOS, of breast, NOS",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502950,8401/3-C50.4,Apocrine adenocarcinoma of upper-outer quadrant of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502944,8260/3-C50.3,"Papillary adenocarcinoma, NOS, of lower-inner quadrant of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502932,8141/3-C50.4,Scirrhous adenocarcinoma of upper-outer quadrant of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502923,8071/3-C50.4,"Squamous cell carcinoma, keratinizing, NOS, of upper-outer quadrant of breast",ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502883,8541/3-C50.4,Paget disease and infiltrating duct carcinoma of breast of upper-outer quadrant of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1"
44502882,8524/3-C50.9,"Infiltrating lobular mixed with other types of carcinoma of breast, NOS",ICDO Condition,Standard,0,0,Condition,ICDO3,
44502881,8524/3-C50.1,Infiltrating lobular mixed with other types of carcinoma of central portion of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,
44502880,8503/3-C50.3,Intraductal papillary adenocarcinoma with invasion of lower-inner quadrant of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,
44502830,8562/3-C50.1,Epithelial-myoepithelial carcinoma of central portion of breast,ICDO Condition,Standard,0,0,Condition,ICDO3,
