Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors
42872396,1.701E+12,Primary adenocarcinoma of colon,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
42537577,737058005,Microsatellite instability-high colorectal cancer,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
40492939,448994001,Carcinoma of upper rectum,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
37208245,6.81651E+14,Primary adenocarcinoma of descending colon,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
37018659,9.6281E+13,Overlapping malignant neoplasm of colon and rectum,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
37016239,1.84881E+14,Primary adenocarcinoma of rectosigmoid junction,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
36717495,721699002,Primary adenocarcinoma of descending colon and splenic flexure,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
36715912,721696009,Primary adenocarcinoma of transverse colon,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
36715911,721695008,Primary adenocarcinoma of ascending colon and right flexure,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
36713361,6.81601E+14,Primary adenocarcinoma of ascending colon,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
36683531,781382000,Malignant neoplasm of colon and/or rectum,Clinical Finding,Standard,0,714,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
4322376,425178004,Adenocarcinoma of rectosigmoid junction,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
4312240,425213009,"Carcinoma of colon, stage I",Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4312001,422985007,"Carcinoma of colon, stage IV",Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4310858,422375001,"Carcinoma of colon, stage III",Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4307687,422581008,"Carcinoma of colon, stage II",Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4256776,408645001,Adenocarcinoma of large intestine,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
4247719,93683002,Primary malignant neoplasm of ascending colon,Clinical Finding,Standard,0,21,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of large intestineMalignant tumor of intestine'"">2"
