concept_id,concept_name,domain_id,concept_class_id,vocabulary_id,DN include,DN_comment
4084147,Metastatic malignant neoplasm to nasopharynx,condition,clinical finding,SNOMED,No,Not primary
45768947,Primary giant cell carcinoma of hypopharynx,condition,clinical finding,SNOMED,No,benign tumor?
4297349,Metastasis involving oral cavity,condition,clinical finding,SNOMED,No,no indication of primary
45769087,Primary giant cell carcinoma of larynx,condition,clinical finding,SNOMED,No,benign tumor?
4201475,Local recurrence of malignant tumor of tongue,condition,clinical finding,SNOMED,Unsure,difficult to use this code to find out the date of diagnosis
4196267,Metastasis from malignant tumor of tongue,condition,clinical finding,SNOMED,Unsure,difficult to use this code to find out the date of diagnosis
4301656,Malignant infiltration of oral cavity by underlying tumor,condition,clinical finding,SNOMED,Unsure,not specific where initial tumour came from?
4089860,Malignant melanoma of lip,condition,clinical finding,SNOMED,Unsure,Skin cancer as on outside of lip?
4222105,Basal cell carcinoma of upper lip,condition,clinical finding,SNOMED,Unsure,Skin cancer as on outside of lip?
4222267,Basal cell carcinoma of lower lip,condition,clinical finding,SNOMED,Unsure,Skin cancer as on outside of lip?
4246138,Primary malignant neoplasm of palatine bone,condition,clinical finding,SNOMED,Unsure,
140958,Kaposi's sarcoma of palate,condition,clinical finding,SNOMED,Unsure,
4201476,Local recurrence of malignant tumor of buccal cavity,condition,clinical finding,SNOMED,Unsure,But will be difficult to define date of diagnosis
4111783,Carcinoma of retromolar area,condition,clinical finding,SNOMED,Unsure,
4178965,Malignant tumor of retromolar area,condition,clinical finding,SNOMED,Unsure,
4311719,Primary Kaposi's sarcoma of oral cavity,condition,clinical finding,SNOMED,Unsure,not sure if this is malignant
40486174,Malignant neoplasm of alveolus of maxilla,condition,clinical finding,SNOMED,Unsure,
40486214,Malignant neoplasm of alveolus dentalis,condition,clinical finding,SNOMED,Unsure,
40487580,Malignant epithelial neoplasm of alveolus dentalis,condition,clinical finding,SNOMED,Unsure,
40488048,Malignant neoplasm of alveolus of mandible,condition,clinical finding,SNOMED,Unsure,
4258703,Primary squamous cell carcinoma of naris,condition,clinical finding,SNOMED,Unsure,skin cancer?
37016571,Basal cell carcinoma of naris,condition,clinical finding,SNOMED,Unsure,skin cancer?
42536528,Primary malignant neuroepitheliomatous neoplasm of nasal cavity,condition,clinical finding,SNOMED,Unsure,
4247843,Primary malignant neoplasm of nasal concha,condition,clinical finding,SNOMED,Unsure,
4312032,Primary malignant neoplasm of vestibule of nose,condition,clinical finding,SNOMED,Unsure,
45772928,Primary lymphoepithelial carcinoma of larynx,condition,clinical finding,SNOMED,Unsure,
4093646,Malignant tumor of frenum of upper lip,condition,clinical finding,SNOMED,Yes,
4090217,Malignant tumor of frenum of lower lip,condition,clinical finding,SNOMED,Yes,
4170451,Malignant tumor of lipstick area of lip,condition,clinical finding,SNOMED,Yes,
4118988,Malignant tumor of frenum of lip,condition,clinical finding,SNOMED,Yes,
4180779,Malignant tumor of lip,condition,clinical finding,SNOMED,Yes,
4180782,Malignant tumor of vermilion border of upper lip,condition,clinical finding,SNOMED,Yes,
4178961,Malignant tumor of vermilion border of lower lip,condition,clinical finding,SNOMED,Yes,
4177100,Malignant tumor of commissure of lip,condition,clinical finding,SNOMED,Yes,
4225833,Malignant tumor of vermilion border of lip,condition,clinical finding,SNOMED,Yes,
4181332,Malignant tumor of base of tongue,condition,clinical finding,SNOMED,Yes,
4093649,Malignant tumor of anterior two-thirds of tongue - dorsal surface,condition,clinical finding,SNOMED,Yes,
4093141,Malignant tumor of anterior two-thirds of tongue - ventral surface,condition,clinical finding,SNOMED,Yes,
4089526,Malignant tumor of junctional zone of tongue,condition,clinical finding,SNOMED,Yes,
4110420,Malignant tumor of anterior two-thirds of tongue - lateral margin,condition,clinical finding,SNOMED,Yes,
4111649,Malignant tumor of tip of tongue,condition,clinical finding,SNOMED,Yes,
4177098,Malignant tumor of anterior two-thirds of tongue,condition,clinical finding,SNOMED,Yes,
4178962,Malignant tumor of tongue,condition,clinical finding,SNOMED,Yes,
4178963,Malignant tumor of gum,condition,clinical finding,SNOMED,Yes,
4090224,Malignant tumor of anterior floor of mouth,condition,clinical finding,SNOMED,Yes,
