Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors,Include DN,Comment DN
45769097,707673006,Pleuropulmonary blastoma type III,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Unsure,childhood cancer our study only > 18 in our study
45769096,707672001,Pleuropulmonary blastoma type II,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Unsure,childhood cancer our study only > 18 in our study
45769095,707671008,Pleuropulmonary blastoma type I,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Unsure,childhood cancer our study only > 18 in our study
45769094,707670009,Pleuropulmonary blastoma,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Unsure,childhood cancer our study only > 18 in our study
4198434,314954002,Local recurrence of malignant tumor of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,ok to define but not useful in study where we want first diagnosis?
46272955,711414003,Primary clear cell adenocarcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Yes,
45772939,707465007,Primary mucoepidermoid carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Yes,
45772938,707455001,Primary papillary squamous cell carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Yes,
45772933,707407001,Primary signet ring cell carcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Yes,
45769035,707596000,Primary carcinosarcoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Yes,
45769034,707595001,Primary mucinous cystadenocarcinoma of lung,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of lung'"">1",Yes,
