Id,Code,Name,Class,Standard Concept Caption,RC,DRC,Domain,Vocabulary,Ancestors,Include DN,Comment DN
140960,94297009,Secondary malignant neoplasm of female breast,Clinical Finding,Standard,6,6,Condition,SNOMED,,No,secondary
442178,94401004,Secondary malignant neoplasm of male breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,Secondary not primary
4110019,285634003,Metastasis to breast of unknown primary,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,
4162133,372093008,Secondary malignant neoplasm of axillary tail of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,
4244051,93215006,Malignant melanoma of skin of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,
4248184,94443006,Secondary malignant neoplasm of nipple of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,
4248185,94444000,Secondary malignant neoplasm of nipple of male breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,
4311636,94177007,Secondary malignant neoplasm of areola of male breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,Secondary we need primary
4311877,94277004,Secondary malignant neoplasm of ectopic male breast tissue,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,Secondary we need primary
4312296,94276008,Secondary malignant neoplasm of ectopic female breast tissue,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,Secondary we need primary
4312544,94385006,Secondary malignant neoplasm of lower inner quadrant of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,Secondary we need primary
4312546,94387003,Secondary malignant neoplasm of lower outer quadrant of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,Secondary we need primary
4312938,94244003,Secondary malignant neoplasm of central portion of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,Secondary we need primary
4314072,94653000,Secondary malignant neoplasm of upper inner quadrant of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,Secondary we need primary
4314189,94655007,Secondary malignant neoplasm of upper outer quadrant of female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,
37204681,783541009,Breast implant-associated anaplastic large-cell lymphoma,Clinical Finding,Standard,0,0,Condition,SNOMED,,No,
37397555,718220008,Hereditary breast and ovarian cancer syndrome,Clinical Finding,Standard,0,0,Condition,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Malignant tumor of breast'"">1",No,
133711,109886000,Overlapping malignant neoplasm of female breast,Clinical Finding,Standard,132,132,Condition,SNOMED,,Unsure,
4003684,109887009,Overlapping malignant neoplasm of male breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,
4092513,188157005,"Malignant neoplasm, overlapping lesion of breast",Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,
4112075,254841008,Cancer en cuirasse,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,
4201477,314955001,Local recurrence of malignant tumor of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,
4247348,94012007,Primary malignant neoplasm of skin of breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,
4293714,403458008,Localized skin involvement by breast carcinoma,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,
4301516,403946000,Paget's disease of nipple,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,Secondary we need primary
36712738,1.08E+15,Recurrent primary malignant neoplasm of left female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,
36712739,1.08E+15,Recurrent primary malignant neoplasm of right female breast,Clinical Finding,Standard,0,0,Condition,SNOMED,,Unsure,
