concept_id,concept_name,domain_id,concept_class_id,vocabulary_id,Include DN,Comment DN
4095319,Malignant tumor of fundus of stomach,condition,clinical finding,SNOMED,Yes,
4095320,Malignant tumor of body of stomach,condition,clinical finding,SNOMED,Yes,
4116239,"Malignant tumor of esophagus, stomach and duodenum",condition,clinical finding,SNOMED,Unsure,Not sure which site is primary?
4149837,Malignant tumor of lesser curve of stomach,condition,clinical finding,SNOMED,Yes,
4149838,Malignant tumor of greater curve of stomach,condition,clinical finding,SNOMED,Yes,
4200887,Local recurrence of malignant tumor of stomach,condition,clinical finding,SNOMED,Unsure,Not a new diagnosis so although a proxy to capure population difficult for calculating survival
4201620,Metastasis from malignant tumor of stomach,condition,clinical finding,SNOMED,Unsure,Not a new diagnosis so although a proxy to capure population difficult for calculating survival
443387,Malignant tumor of stomach,condition,clinical finding,SNOMED,Yes,
46271647,Malignant carcinoid tumor of stomach,condition,clinical finding,SNOMED,Yes,
4110571,Carcinoma of fundus of stomach,condition,clinical finding,SNOMED,Yes,
435751,Primary malignant neoplasm of fundus of stomach,condition,clinical finding,SNOMED,Yes,
4115266,Carcinoma of body of stomach,condition,clinical finding,SNOMED,Yes,
36717622,Primary adenocarcinoma of body of stomach,condition,clinical finding,SNOMED,Yes,
36715862,Primary neuroendocrine carcinoma of body of stomach,condition,clinical finding,SNOMED,Yes,
36715859,Primary malignant neuroendocrine neoplasm of body of stomach,condition,clinical finding,SNOMED,Yes,
193422,Primary malignant neoplasm of body of stomach,condition,clinical finding,SNOMED,Yes,
4174763,Early gastric cancer,condition,clinical finding,SNOMED,Yes,
4174764,Late gastric cancer,condition,clinical finding,SNOMED,Yes,
40486029,Lymphoma of fundus of stomach,condition,clinical finding,SNOMED,Yes,
40490460,Lymphoma of body of stomach,condition,clinical finding,SNOMED,Yes,
4115267,Carcinoma of lesser curve of stomach,condition,clinical finding,SNOMED,Yes,
40488958,Lymphoma of lesser curvature of stomach,condition,clinical finding,SNOMED,Yes,
434292,Primary malignant neoplasm of lesser curvature of stomach,condition,clinical finding,SNOMED,Yes,
4112609,Carcinoma of greater curve of stomach,condition,clinical finding,SNOMED,Yes,
40486589,Lymphoma of greater curvature of stomach,condition,clinical finding,SNOMED,Yes,
437224,Primary malignant neoplasm of greater curvature of stomach,condition,clinical finding,SNOMED,Yes,
35610176,Malignant neoplasm of prepylorus of stomach,condition,clinical finding,SNOMED,Yes,
35610248,Malignant neoplasm of posterior wall of stomach,condition,clinical finding,SNOMED,Yes,
